,总建筑面积,总增长成本,单位增长成本,单位节能量,单位节材,单位节水,单位节地,0,1,2,3,4,5,6
51,40520.0,18682200.0,461.061,56.655,0.0,9.954,59.847,1.0,0.0,1.0,1.0,0.0,0.0,1.0
52,8676.0,4393560.0,506.404,6.604,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
53,290000.0,174000000.0,600.0,2.407,0.0,1.379,118.793,1.0,0.0,1.0,1.0,0.0,0.0,1.0
54,11000.0,1722040.0,156.549,50.564,0.0,15.786,8.182,1.0,1.0,0.0,1.0,0.0,1.0,0.0
55,10000.0,1641400.0,164.14,61.23,4.8,15.695,23.1,1.0,0.0,1.0,0.0,1.0,0.0,1.0
56,59619.0,7950100.0,133.348,13.754,249.92,11.204,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
57,79201.1,20414200.0,257.751,3.722,27.423,0.226,10.101,1.0,0.0,1.0,0.0,1.0,0.0,1.0
58,200000.0,116000000.0,580.0,6.141,2.688,0.703,5.2,1.0,0.0,1.0,1.0,0.0,0.0,1.0
59,70377.01,8969500.0,127.449,1.989,0.0,0.426,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
60,91000.0,9364000.0,102.901,7.752,0.0,0.632,4.121,1.0,0.0,1.0,1.0,0.0,0.0,1.0
61,63292.83,11380600.0,179.809,123.924,167.306,0.742,2.37,1.0,0.0,1.0,0.0,1.0,0.0,1.0
62,9153.0,1214700.0,132.711,27.718,89.053,3.081,13.657,1.0,0.0,1.0,1.0,0.0,0.0,1.0
63,286800.0,30168000.0,105.188,6.803,0.0,1.621,43.418,1.0,0.0,1.0,1.0,0.0,0.0,1.0
64,208200.0,129530000.0,622.142,31.094,2.546,2.429,1.057,1.0,0.0,1.0,0.0,1.0,0.0,1.0
65,800000.0,327951000.0,409.939,22.108,1211.863,8.674,55.313,1.0,0.0,1.0,1.0,0.0,0.0,1.0
66,66428.0,9064000.0,136.448,14.301,0.0,0.244,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
67,1500000.0,55891000.0,37.261,0.177,0.0,0.058,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
68,50150.0,12726500.0,253.769,70.927,0.0,9.117,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
69,225732.56,14309000.0,63.389,7.789,0.0,1.356,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
70,10166.76,1728200.0,169.985,132.642,97.312,0.828,3.695,1.0,1.0,0.0,1.0,0.0,1.0,0.0
71,162400.0,17882387.8,110.113,1.509,38.311,8.56,0.685,1.0,0.0,1.0,0.0,1.0,0.0,1.0
72,130000.0,44488900.0,342.222,12.898,17.423,3.519,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
73,39270.56,7575383.0,192.902,7.54,20.626,3.117,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
74,62018.0,5309000.0,85.604,2.456,0.0,0.318,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
75,54116.2,93685500.0,1731.191,26.992,43.736,2.012,140.505,1.0,0.0,1.0,0.0,1.0,0.0,1.0
76,230000.0,245634378.6,1067.976,38.434,0.0,0.0,22.806,1.0,0.0,1.0,1.0,0.0,0.0,1.0
77,100678.0,34501343.8,342.69,8.922,0.0,13.38,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
78,10123.5,97469600.0,9628.054,480.883,416.763,4.633,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
79,4335.1,12004400.0,2769.117,10.07,82.498,1.001,55.593,1.0,0.0,1.0,1.0,0.0,0.0,1.0
80,188767.0,2490700.0,13.195,6.182,70.855,1.144,38.412,1.0,0.0,1.0,0.0,1.0,0.0,1.0
81,5796.92,8284785.0,1429.17,101.8,222.532,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
82,9513.0,2022000.0,212.551,3.238,0.0,4.247,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
83,1260700.0,283655000.0,224.998,25.002,156.262,18.751,156.262,1.0,1.0,0.0,1.0,0.0,1.0,0.0
84,5283700.0,686880000.0,130.0,15.677,97.984,11.758,97.85,1.0,0.0,1.0,1.0,0.0,0.0,1.0
85,842900.0,2612299000.0,3099.18,29.916,373.71,22.437,353.684,1.0,0.0,1.0,0.0,1.0,0.0,1.0
86,45086.0,49670000.0,1101.672,16.635,222.907,8.317,198.51,1.0,0.0,1.0,0.0,1.0,0.0,1.0
